tag,frequency,percentage
pre-trained model,30498,14.211357716341338
business,27014,12.587894857015048
earth and nature,17261,8.043223999664496
computer science,12007,5.594982362781508
arts and entertainment,11738,5.46963462766131
tabular,11589,5.400204097799191
education,8809,4.104788842653644
data analytics,8283,3.8596850929390545
image,8064,3.7576361933430564
beginner,8030,3.7417929851866005
health,7581,3.53256944217928
text,7424,3.45941109863329
data visualization,7388,3.442635937055866
movies and tv shows,6886,3.2087156283928926
finance,5731,2.6705125277838615
investing,5376,2.505090795562038
classification,5293,2.466414728591865
exploratory data analysis,5136,2.3932563850458752
intermediate,4835,2.2529973951901887
internet,4755,2.2157192583514678
biology,4600,2.143492868226446
computer vision,4567,2.128115636780474
nlp,4490,2.092235430073205
music,4360,2.0316584577102836
deep learning,3956,1.8434038666747434
data cleaning,3928,1.8303565187811912
news,3598,1.676584204321468
automobiles and vehicles,3582,1.669128576953724
sports,3553,1.6556152523496874
cancer,3518,1.6393060674827473
online communities,3213,1.497183170785124
software,3097,1.4431298723689792
social science,3073,1.4319464313173629
english,3050,1.4212289669762306
health conditions,3029,1.4114434560560662
programming,3017,1.4058517355302582
games,2927,1.3639138315866974
currencies and foreign exchange,2826,1.3168501838278124
time series analysis,2744,1.2786400935681235
food,2694,1.255341258043923
categorical,2632,1.2264507019939144
economics,2605,1.2138693308108461
universities and colleges,2584,1.2040838198906818
transportation,2558,1.1919684254180976
law,2539,1.1831148679189014
artificial intelligence,2499,1.164475799499541
retail and shopping,2452,1.1425748941067926
clothing and accessories,2437,1.1355852434495324
video games,2395,1.116014221609204
united states,2343,1.0917834326640354
india,2255,1.0507774821414426
social networks,2164,1.0083736014873976
travel,2145,0.9995200439882015
exercise,2128,0.9915984399099733
government,2101,0.979017068726905
football,2101,0.979017068726905
energy,1985,0.9249637703107598
politics,1982,0.9235658401793079
regression,1905,0.8876856334720391
healthcare,1867,0.8699785184736467
religion and belief systems,1795,0.836428195318798
banking,1795,0.836428195318798
image classification,1760,0.8201190104518576
covid19,1751,0.8159252200575016
advanced,1707,0.7954222447962052
literature,1650,0.7688615722986165
science and technology,1551,0.7227298779606995
ratings and reviews,1544,0.7194680409873114
real estate,1519,0.7078186232252112
e-commerce services,1502,0.6998970191469831
public health,1493,0.6957032287526269
cricket,1464,0.6821899041485907
crime,1462,0.6812579507276226
global,1434,0.6682106028340703
heart conditions,1425,0.6640168124397143
python,1403,0.653765324809066
binary classification,1399,0.65190141796713
electronics,1381,0.6435138371784178
pandas,1377,0.6416499303364818
standardized testing,1354,0.6309324659953496
multiclass classification,1341,0.6248747687590575
europe,1304,0.607633630471149
public safety,1300,0.605769723629213
earth science,1295,0.603439840076793
agriculture,1251,0.5829368648154966
environment,1247,0.5810729579735605
cnn,1243,0.5792090511316245
weather and climate,1229,0.5726853771848484
animals,1217,0.5670936566590402
social issues and advocacy,1194,0.5563761923179079
art,1089,0.5074486377170869
anime and manga,1077,0.5018569171912788
text mining,1068,0.4976631267969227
asia,1060,0.4939353131130506
research,1058,0.49300335969208253
medicine,996,0.4641128036420739
email and messaging,995,0.46364682693159
cycling,984,0.4585210831162659
diabetes,957,0.4459397119331976
socrata,956,0.44547373522271355
jobs and career,942,0.43895006127593744
data storytelling,942,0.43895006127593744
hotels and accommodations,939,0.4375521311444854
statistical analysis,935,0.43568822430254933
demographics,916,0.42683466680335314
clustering,916,0.42683466680335314
cities and urban areas,905,0.42170892298802903
diseases,886,0.41285536548883284
restaurants,869,0.4049337614106047
object detection,846,0.3942162970694725
mental health,844,0.39328434364850445
alcohol,829,0.3862946929912443
geography,826,0.3848967628597923
basketball,823,0.38349883272834023
people and society,823,0.38349883272834023
geospatial analysis,817,0.38070297246543616
eyes and vision,817,0.38070297246543616
feature engineering,807,0.37604320536059604
renewable energy,801,0.37324734509769203
audio,788,0.36718964786139985
insurance,787,0.36672367115091586
languages,785,0.36579171772994784
people,773,0.36019999720413975
housing,769,0.3583360903622037
linear regression,769,0.3583360903622037
atmospheric science,767,0.3574041369412357
history,730,0.34016299865332733
video,727,0.33876506852187527
electricity,725,0.33783311510090724
cooking and recipes,711,0.33130944115413113
